#wpdx_id,#lat_deg,#lon_deg,#clean_country_name,#status_clean,#clean_adm1,#clean_adm2,#clean_adm3,#clean_adm4,#water_source_clean,#water_tech_clean,#subjective_quality_clean
6CVFR5GP+XXW,7.827475556,-10.81255194,Sierra Leone,1,Eastern,Kailahun,Malema,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCVRQ6+R3P,7.889585008,-11.18980925,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8CRPP+MG9,8.436667778,-13.16362583,Sierra Leone,1,Western,Western Rural,Freetown2,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW9MFMC+587,8.682912778,-12.5292,Sierra Leone,1,Northern,Port Loko,Masimera,Not Reported,Not Reported,Public Tapstand,Acceptable quality
6CW8CP7J+9V3,8.413397778,-13.26782,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Bad color
6CW8FQ5M+GRF,8.458808333,-13.21544,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CX9434G+46F,9.105308611,-12.92445722,Sierra Leone,1,Northern,Kambia,Magbema,Not Reported,Piped Water,Hydram Pump,Bad taste
6CVCWVQ4+MH8,7.939166667,-11.14353333,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Not Reported,Public Tapstand,Not Reported
6CW8FPX7+57Q,8.497953611,-13.28677972,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW86WV7+FVR,8.24374544,-13.08537073,Sierra Leone,1,Western,Western Rural,Freetown4,Not Reported,Piped Water,Rope and Bucket,Not Reported
6CVCJXQC+C9J,7.638667778,-11.0291025,Sierra Leone,1,Eastern,Kenema,Gaura,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CWC2V8Q+5CV,8.01548,-11.11146833,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQHP+JRR,8.479103611,-13.21299139,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW86W83+FF3,8.216133056,-13.09634,Sierra Leone,1,Western,Western Rural,Freetown4,Not Reported,Piped Water,Rope and Bucket,Acceptable quality
6CVCWR8G+78M,7.915715833,-11.17421278,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Hydram Pump,Acceptable quality
6CW8CRCR+2CG,8.420062778,-13.15891917,Sierra Leone,1,Western,Western Rural,Freetown2,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCVRC2+28Q,7.870079167,-11.1991275,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVC974X+G9R,7.356356389,-11.70159389,Sierra Leone,1,Southern,Pujehun,Panga Kabonde,Not Reported,Piped Water,Motorized Pump,Acceptable quality
6CVCMW6C+P9P,7.661843056,-11.07906083,Sierra Leone,1,Eastern,Kenema,Gaura,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCVRWC+PQG,7.896804722,-11.178045,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Not Reported
6CW86W93+5MR,8.217995,-13.09586222,Sierra Leone,1,Western,Western Rural,Freetown4,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQF4+MFC,8.474195833,-13.24386639,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCPXFX+7G2,7.723133333,-11.00122472,Sierra Leone,1,Eastern,Kenema,Gaura,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CWC6845+P83,8.206756944,-11.69171667,Sierra Leone,1,Southern,Bo,Valunia,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCVRP5+2WV,7.885109201,-11.19019114,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQP5+GRF,8.4863075,-13.24045944,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Not Reported,Public Tapstand,Acceptable quality
6CVFV6H5+HJ2,7.8788875,-10.79099833,Sierra Leone,1,Eastern,Kailahun,Malema,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8CPHC+P6Q,8.429328333,-13.27938,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FP2C+JPV,8.451609167,-13.27819556,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Not Reported
6CVFV6H6+G7M,7.878847778,-10.78933722,Sierra Leone,1,Eastern,Kailahun,Malema,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCWR2C+X4F,7.902428889,-11.17968806,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8CRRR+WF9,8.442295556,-13.15875444,Sierra Leone,1,Western,Western Rural,Freetown2,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8CRWH+88P,8.4458425,-13.1716575,Sierra Leone,1,Western,Western Rural,Freetown2,Not Reported,Piped Water,Public Tapstand,Not Reported
6CVCVRJ6+WJ8,7.882277222,-11.18841278,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Motorized Pump,Acceptable quality
6CW8FPJV+QQ9,8.481901944,-13.25551444,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Not Reported
6CW89RWV+JGC,8.396560278,-13.15622972,Sierra Leone,1,Western,Western Rural,Freetown2,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FPV9+RJJ,8.494585278,-13.28097306,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQQC+2HP,8.48759588,-13.22855183,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW89RXW+74P,8.398201667,-13.15468,Sierra Leone,1,Western,Western Rural,Freetown2,Not Reported,Piped Water,Hand Pump - India Mark,Acceptable quality
6CWC2VVV+JHJ,8.044077222,-11.10610528,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Hydram Pump,Acceptable quality
6CVCMWRV+55P,7.690466667,-11.05705,Sierra Leone,1,Eastern,Kenema,Gaura,Not Reported,Not Reported,Public Tapstand,Not Reported
6CW8CR9R+QC8,8.419421667,-13.15892278,Sierra Leone,1,Western,Western Rural,Freetown2,Not Reported,Piped Water,Public Tapstand,Not Reported
6CVCPXFX+4MR,7.722863333,-11.00086639,Sierra Leone,1,Eastern,Kenema,Gaura,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCVR74+X89,7.864902737,-11.19412502,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Hydram Pump,Acceptable quality
6CVCWR28+84R,7.900850556,-11.18473972,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW87WPC+25Q,8.285091944,-13.07950333,Sierra Leone,1,Western,Western Rural,Freetown3,Not Reported,Piped Water,Rope and Bucket,Acceptable quality
6CWCGWR6+MH6,8.541674444,-11.08861861,Sierra Leone,1,Eastern,Kono,Nimikoro,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQMP+JQV,8.48412282,-13.21306385,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Bad color
6CVCWR28+PFC,7.901801111,-11.18385556,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCVRM6+2FJ,7.882576111,-11.18886972,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Motorized Pump,Acceptable quality
6CW8FPJJ+PPP,8.481828611,-13.26815806,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Not Reported
6CW8FP2C+VWQ,8.452221389,-13.27763444,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Not Reported
6CW8FPW7+7R9,8.495651389,-13.28540444,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQPF+2PW,8.485114006,-13.22568436,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCW7XG+2XX,7.947619722,-11.72250028,Sierra Leone,1,Southern,Bo,Kakua,Not Reported,Piped Water,Public Tapstand,Not Reported
6CW8FP2Q+9P3,8.450895278,-13.26071722,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Not Reported
6CVCXV57+6CC,7.958073611,-11.13648639,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Hydram Pump,Not Reported
6CWF7CHH+8G8,8.278281389,-10.57117,Sierra Leone,1,Eastern,Kailahun,Luawa,Not Reported,Piped Water,Public Tapstand,Not Reported
6CVCWR5H+4G2,7.907770833,-11.17124111,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Hydram Pump,Acceptable quality
6CVFX5P6+RX8,7.98703136,-10.83755599,Sierra Leone,1,Eastern,Kailahun,Jawie,Not Reported,Piped Water,Public Tapstand,Not Reported
6CW8CR5V+G7C,8.408817222,-13.15684694,Sierra Leone,1,Western,Western Rural,Freetown2,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8CRJ2+8HW,8.430855,-13.19853167,Sierra Leone,1,Western,Western Rural,Freetown2,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCMWRR+CVW,7.6911525,-11.05781667,Sierra Leone,1,Eastern,Kenema,Gaura,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQGR+MJ6,8.47665423,-13.20847272,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8CRWM+QH8,8.4469185,-13.16603897,Sierra Leone,1,Western,Western Rural,Freetown2,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8CRRR+P77,8.441795833,-13.15931861,Sierra Leone,1,Western,Western Rural,Freetown2,Not Reported,Piped Water,Public Tapstand,Not Reported
6CWCGQR3+P8G,8.541806667,-11.24668111,Sierra Leone,1,Eastern,Kono,Nimiyama,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCXWV8+XM8,7.994896389,-11.08328278,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FRF2+VJQ,8.474706111,-13.19840083,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Not Reported
6CVCVRH4+5F4,7.877898333,-11.19378917,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Hydram Pump,Acceptable quality
6CW8CRMM+H89,8.433909167,-13.16664194,Sierra Leone,1,Western,Western Rural,Freetown2,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FP6R+FMQ,8.461203611,-13.25825028,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQ96+QRH,8.469448333,-13.23789778,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQQP+CJ6,8.488530768,-13.21348973,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCWR2G+47C,7.900301389,-11.17434833,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVC976R+GFG,7.36132117,-11.70880922,Sierra Leone,1,Southern,Pujehun,Panga Kabonde,Not Reported,Piped Water,Hand Pump - Inkar,Not Reported
6CVCWR4F+27Q,7.905096667,-11.17677917,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCMXWQ+226,7.69504608,-11.01247938,Sierra Leone,1,Eastern,Kenema,Gaura,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FPV7+HVX,8.493976667,-13.28526583,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8CRMR+PXH,8.434322222,-13.15752722,Sierra Leone,1,Western,Western Rural,Freetown2,Not Reported,Piped Water,Hand Pump,Not Reported
6CVCXV57+Q67,7.959403889,-11.13695639,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCPXH3+5GM,7.727974722,-11.04620139,Sierra Leone,1,Eastern,Kenema,Gaura,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW88R55+7VQ,8.308223889,-13.19025972,Sierra Leone,1,Western,Western Rural,Freetown4,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVFP2P3+RG3,7.737009722,-10.99620139,Sierra Leone,1,Eastern,Kenema,Gaura,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVFV6H6+H5C,7.878932778,-10.78960778,Sierra Leone,1,Eastern,Kailahun,Malema,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8CR4W+VF6,8.407156337,-13.15387487,Sierra Leone,1,Western,Western Rural,Freetown2,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FP2C+7VV,8.450744722,-13.27783583,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Not Reported
6CVCWR6H+5C5,7.910390556,-11.17137583,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCVRX6+PQ8,7.899295278,-11.18805528,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Hydram Pump,Acceptable quality
6CW8FPFW+286,8.472537778,-13.25424306,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Not Reported
6CVCMW5C+RV6,7.659538333,-11.07788972,Sierra Leone,1,Eastern,Kenema,Gaura,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVFX5Q5+7JQ,7.98821,-10.84087583,Sierra Leone,1,Eastern,Kailahun,Jawie,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCVRH7+2QR,7.877618056,-11.185615,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Rope and Bucket,Acceptable quality
6CVCWVR5+8R8,7.9407825,-11.14042444,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Hydram Pump,Acceptable quality
6CW8FQP5+PV9,8.486788056,-13.24027417,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Bad color
6CWC3V2R+6R4,8.050520278,-11.10793472,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Hydram Pump,Acceptable quality
6CW8FQH3+3R8,8.477667222,-13.24541444,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCMWQR+QWP,7.68945041,-11.05768328,Sierra Leone,1,Eastern,Kenema,Gaura,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCMXFJ+J5G,7.67407312,-11.01948239,Sierra Leone,1,Eastern,Kenema,Gaura,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCXV57+C58,7.958545556,-11.13704972,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Hydram Pump,Acceptable quality
6CVCVRG7+JR5,7.876508056,-11.18540556,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCX626+924,7.950887778,-11.7899075,Sierra Leone,1,Southern,Bo,Tikonko,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCVRP5+3Q7,7.885154444,-11.19056611,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Hydram Pump,Acceptable quality
6CVCVRW8+W7R,7.897370327,-11.18434673,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCWR2F+3G4,7.900126667,-11.17616472,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCVR84+WQQ,7.867346667,-11.19303028,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Not Reported
6CW8FQMQ+8C9,8.483283889,-13.21140222,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQGR+JP3,8.476508911,-13.2081915,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Bad color
6CW8CRHV+27F,8.427554444,-13.15681333,Sierra Leone,1,Western,Western Rural,Freetown2,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVFQ27F+X85,7.764884167,-10.97664917,Sierra Leone,1,Eastern,Kenema,Gaura,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCVRMC+RXR,7.884618611,-11.17761139,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQG4+H53,8.476383056,-13.244585,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW88R55+WG5,8.30975,-13.19113667,Sierra Leone,1,Western,Western Rural,Freetown4,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CXC27R3+RMQ,9.042083889,-11.74577139,Sierra Leone,1,Northern,Tonkolili,Kalansogoia,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCMW5C+WX5,7.659772293,-11.07750755,Sierra Leone,1,Eastern,Kenema,Gaura,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCR663+HW5,7.8114075,-11.79528972,Sierra Leone,1,Southern,Bo,Tikonko,Not Reported,Piped Water,Motorized Pump,Acceptable quality
6CW86W92+5M3,8.217880278,-13.09834194,Sierra Leone,1,Western,Western Rural,Freetown4,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCVRJ6+G6X,7.881354909,-11.18939484,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW86WR8+PH6,8.241796944,-13.08361722,Sierra Leone,1,Western,Western Rural,Freetown4,Not Reported,Piped Water,Rope and Bucket,Not Reported
6CVCVRX8+Q63,7.8993925,-11.18444056,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Hydram Pump,Acceptable quality
6CVFV6H5+2J6,7.877539167,-10.79099722,Sierra Leone,1,Eastern,Kailahun,Malema,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CWC7XHR+RGV,8.27961,-11.0087,Sierra Leone,1,Eastern,Kenema,Lower Bambara,Not Reported,Not Reported,Public Tapstand,Not Reported
6CVCWVQ4+QX7,7.939406389,-11.14255194,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQP2+242,8.485023889,-13.24973222,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Bad color
6CW89W6C+PFJ,8.36182531,-13.07885985,Sierra Leone,1,Western,Western Rural,Freetown3,Not Reported,Piped Water,Public Tapstand,Not Reported
6CVCVRH8+G9H,7.878808056,-11.18400194,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCVQ7V+8H8,7.863276389,-11.20604194,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FPW5+GCH,8.4963033,-13.291402,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Bad color
6CVCPXJX+6X5,7.730501667,-11.00002833,Sierra Leone,1,Eastern,Kenema,Gaura,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCPW84+W4J,7.717343889,-11.09472028,Sierra Leone,1,Eastern,Kenema,Dama,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FP8V+64H,8.465550556,-13.25715028,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCVRJ3+HVP,7.881464722,-11.19530611,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Hand Pump - Afridev,Acceptable quality
6CW8FPV8+P59,8.4942875,-13.28451806,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Bad color
6CVCMW6C+2G5,7.660032778,-11.07868194,Sierra Leone,1,Eastern,Kenema,Gaura,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW86W93+85Q,8.218338889,-13.09700583,Sierra Leone,1,Western,Western Rural,Freetown4,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FR65+889,8.460776111,-13.19164556,Sierra Leone,1,Western,Western Rural,Freetown2,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FPPH+652,8.48550938,-13.27209649,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Bad color
6CVCVRR5+6QJ,7.890576389,-11.19061528,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FPFX+878,8.473285833,-13.25178611,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FPV8+9XV,8.493488889,-13.28256806,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCWVR5+5F6,7.9404,-11.14135,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Not Reported,Public Tapstand,Not Reported
6CWC7W34+8CF,8.253291389,-11.09390167,Sierra Leone,1,Eastern,Kenema,Lower Bambara,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQHP+FHW,8.478740556,-13.21353444,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQPC+X78,8.48740989,-13.22928482,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FPGP+R76,8.477046944,-13.26435833,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CX9435F+JFG,9.109058333,-12.92630472,Sierra Leone,1,Northern,Kambia,Magbema,Not Reported,Piped Water,Hydram Pump,Acceptable quality
6CVFP2P3+M9M,7.736703056,-10.99657139,Sierra Leone,1,Eastern,Kenema,Gaura,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVFQ28F+98Q,7.765974722,-10.97663972,Sierra Leone,1,Eastern,Kenema,Gaura,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQP5+V4V,8.48722663,-13.24218771,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW88R55+R9X,8.309608056,-13.19152667,Sierra Leone,1,Western,Western Rural,Freetown4,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCWVP2+XVC,7.937446389,-11.14784639,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Hydram Pump,Acceptable quality
